symbol,timeframe,strategy,trades,wins,losses,winrate,total_pnl,avg_pnl,best_trade,worst_trade
ETH/USDT:USDT,1h,"WT,EMA,BOS",13,3,10,23.08,-8.72,-0.671,0.57,-1.0
ETH/USDT:USDT,1h,"RSI,WT,EMA,BOS",13,3,10,23.08,-8.72,-0.671,0.57,-1.0
ETH/USDT:USDT,1h,"RSI,RSX,WT,EMA,SWEEP",35,10,25,28.57,-9.88,-0.2824,3.0,-1.0
ETH/USDT:USDT,5m,"RSX,WT,EMA,BOS,SWEEP",41,12,29,29.27,-10.08,-0.2459,1.92,-1.0
ETH/USDT:USDT,5m,"WT,EMA,BOS,SWEEP",38,10,28,26.32,-10.16,-0.2673,1.92,-1.0
ETH/USDT:USDT,5m,"RSI,WT,EMA,BOS,SWEEP",38,10,28,26.32,-10.16,-0.2673,1.92,-1.0
ETH/USDT:USDT,1h,"RSX,WT,EMA,SWEEP",33,9,24,27.27,-11.88,-0.3601,3.0,-1.0
BTC/USDT:USDT,5m,"WT,EMA,BOS",18,0,18,0.0,-12.59,-0.6993,-0.33,-1.0
BTC/USDT:USDT,5m,"RSI,WT,EMA,BOS",19,0,19,0.0,-12.77,-0.6719,-0.18,-1.0
ETH/USDT:USDT,1h,"WT,EMA,SWEEP",27,6,21,22.22,-12.92,-0.4787,3.0,-1.0
ETH/USDT:USDT,1h,"RSI,WT,EMA,SWEEP",27,6,21,22.22,-12.92,-0.4787,3.0,-1.0
BTC/USDT:USDT,5m,"RSX,WT,EMA,BOS",21,0,21,0.0,-13.38,-0.6374,-0.18,-1.0
BTC/USDT:USDT,5m,"RSI,RSX,WT,EMA,BOS",21,0,21,0.0,-13.38,-0.6374,-0.18,-1.0
BTC/USDT:USDT,5m,"WT,EMA,BOS,SWEEP",33,5,28,15.15,-17.12,-0.5186,0.59,-1.0
BTC/USDT:USDT,5m,"RSI,WT,EMA,BOS,SWEEP",34,5,29,14.71,-17.29,-0.5087,0.59,-1.0
BTC/USDT:USDT,5m,"RSI,RSX,WT,EMA,BOS,SWEEP",43,10,33,23.26,-17.55,-0.4082,0.74,-1.0
BTC/USDT:USDT,5m,"RSX,WT,EMA,BOS,SWEEP",37,6,31,16.22,-17.73,-0.4793,0.59,-1.0
ETH/USDT:USDT,1h,"RSI,RSX,WT,EMA,BOS,SWEEP",49,13,36,26.53,-19.61,-0.4001,3.0,-1.0
ETH/USDT:USDT,1h,"RSX,WT,EMA,BOS,SWEEP",46,12,34,26.09,-20.61,-0.4479,3.0,-1.0
ETH/USDT:USDT,1h,"WT,EMA,BOS,SWEEP",40,9,31,22.5,-21.65,-0.5412,3.0,-1.0
ETH/USDT:USDT,1h,"RSI,WT,EMA,BOS,SWEEP",40,9,31,22.5,-21.65,-0.5412,3.0,-1.0
